Time,Sequence Number,Event
4.84,249000,send
4.84,249000,transmit
4.848,229000,ack
4.848,250000,send
4.848,250000,transmit
4.856,230000,ack
4.856,251000,send
4.856,251000,transmit
4.864,231000,ack
4.864,252000,send
4.864,252000,transmit
4.872,232000,ack
4.872,253000,send
4.872,253000,transmit
4.88,233000,ack
4.88,254000,send
4.88,254000,transmit
4.888,234000,ack
4.888,255000,send
4.888,255000,transmit
4.896,235000,ack
4.896,256000,send
4.896,256000,transmit
4.904,236000,ack
4.904,257000,send
4.904,257000,transmit
4.912,237000,ack
4.912,258000,send
4.912,258000,transmit
4.92,238000,ack
4.92,259000,send
4.92,259000,transmit
4.928,239000,ack
4.928,260000,send
4.928,260000,transmit
4.936,240000,ack
4.936,261000,send
4.936,261000,transmit
4.944,241000,ack
4.944,262000,send
4.944,262000,transmit
4.952,242000,ack
4.952,263000,send
4.952,263000,transmit
4.96,243000,ack
4.96,264000,send
4.96,264000,transmit
5.008,244000,ack
5.008,265000,send
5.008,266000,send
5.008,265000,transmit
5.016,245000,ack
5.016,267000,send
5.016,266000,transmit
5.024,246000,ack
5.024,268000,send
5.024,267000,transmit
5.032,247000,ack
5.032,269000,send
5.032,268000,transmit
5.04,248000,ack
5.04,270000,send
5.04,269000,transmit
5.048,249000,ack
5.048,271000,send
5.048,270000,transmit
5.056,250000,ack
5.056,272000,send
5.056,271000,transmit
5.064,251000,ack
5.064,273000,send
5.064,272000,transmit
5.072,252000,ack
5.072,274000,send
5.072,273000,transmit
5.08,253000,ack
5.08,275000,send
5.08,274000,transmit
5.088,254000,ack
5.088,276000,send
5.088,275000,transmit
5.096,255000,ack
5.096,277000,send
5.096,276000,transmit
5.104,256000,ack
5.104,278000,send
5.104,277000,transmit
5.112,257000,ack
5.112,279000,send
5.112,278000,transmit
5.12,258000,ack
5.12,280000,send
5.12,279000,transmit
5.128,259000,ack
5.128,281000,send
5.128,280000,transmit
5.136,260000,ack
5.136,282000,send
5.136,281000,transmit
5.144,261000,ack
5.144,283000,send
5.144,282000,transmit
5.152,262000,ack
5.152,284000,send
5.152,283000,transmit
5.16,263000,ack
5.16,285000,send
5.16,284000,transmit
5.168,264000,ack
5.168,286000,send
5.168,285000,transmit
5.176,286000,transmit
5.216,265000,ack
5.216,287000,send
5.216,287000,transmit
5.224,266000,ack
5.224,288000,send
5.224,289000,send
5.224,288000,transmit
5.232,267000,ack
5.232,290000,send
5.232,289000,transmit
5.24,268000,ack
5.24,291000,send
5.24,290000,transmit
5.248,269000,ack
5.248,292000,send
5.248,291000,transmit
5.256,270000,ack
5.256,293000,send
5.256,292000,transmit
5.264,271000,ack
5.264,294000,send
5.264,293000,transmit
5.272,272000,ack
5.272,295000,send
5.272,294000,transmit
5.28,273000,ack
5.28,296000,send
5.28,295000,transmit
5.288,274000,ack
5.288,297000,send
5.288,296000,transmit
5.296,275000,ack
5.296,298000,send
5.296,297000,transmit
5.304,276000,ack
5.304,299000,send
5.304,298000,transmit
5.312,277000,ack
5.312,300000,send
5.312,299000,transmit
5.32,278000,ack
5.32,301000,send
5.32,300000,transmit
5.328,279000,ack
5.328,302000,send
5.328,301000,transmit
5.336,280000,ack
5.336,303000,send
5.336,302000,transmit
5.344,281000,ack
5.344,304000,send
5.344,303000,transmit
5.352,282000,ack
5.352,305000,send
5.352,304000,transmit
5.36,283000,ack
5.36,306000,send
5.36,305000,transmit
5.368,284000,ack
5.368,307000,send
5.368,306000,transmit
5.376,285000,ack
5.376,308000,send
5.376,307000,transmit
5.384,286000,ack
5.384,309000,send
5.384,308000,transmit
5.392,309000,transmit
5.424,287000,ack
5.424,310000,send
5.424,310000,transmit
5.432,288000,ack
5.432,311000,send
5.432,311000,transmit
5.44,289000,ack
5.44,312000,send
5.44,313000,send
5.44,312000,transmit
5.448,290000,ack
5.448,314000,send
5.448,313000,transmit
5.456,291000,ack
5.456,315000,send
5.456,314000,transmit
5.464,292000,ack
5.464,316000,send
5.464,315000,transmit
5.472,293000,ack
5.472,317000,send
5.472,316000,transmit
5.48,294000,ack
5.48,318000,send
5.48,317000,transmit
5.488,295000,ack
5.488,319000,send
5.488,318000,transmit
5.496,296000,ack
5.496,320000,send
5.496,319000,transmit
5.504,297000,ack
5.504,321000,send
5.504,320000,transmit
5.512,298000,ack
5.512,322000,send
5.512,321000,transmit
5.52,299000,ack
5.52,323000,send
5.52,322000,transmit
5.528,300000,ack
5.528,324000,send
5.528,323000,transmit
5.536,301000,ack
5.536,325000,send
5.536,324000,transmit
5.544,302000,ack
5.544,326000,send
5.544,325000,transmit
5.552,303000,ack
5.552,327000,send
5.552,326000,transmit
5.56,304000,ack
5.56,328000,send
5.56,327000,transmit
5.568,305000,ack
5.568,329000,send
5.568,328000,transmit
5.576,306000,ack
5.576,330000,send
5.576,329000,transmit
5.584,307000,ack
5.584,331000,send
5.584,330000,transmit
5.592,308000,ack
5.592,332000,send
5.592,331000,transmit
5.6,309000,ack
5.6,333000,send
5.6,332000,transmit
5.608,333000,transmit
5.632,310000,ack
5.632,334000,send
5.632,334000,transmit
5.64,311000,ack
5.64,335000,send
5.64,335000,transmit
5.648,312000,ack
5.648,336000,send
5.648,336000,transmit
5.656,313000,ack
5.656,337000,send
5.656,338000,send
5.656,337000,transmit
5.664,314000,ack
5.664,339000,send
5.664,338000,transmit
5.672,315000,ack
5.672,340000,send
5.672,339000,transmit
5.68,316000,ack
5.68,341000,send
5.68,340000,transmit
5.688,317000,ack
5.688,342000,send
5.688,341000,transmit
5.696,318000,ack
5.696,343000,send
5.696,342000,transmit
5.704,319000,ack
5.704,344000,send
5.704,343000,transmit
5.712,320000,ack
5.712,345000,send
5.712,344000,transmit
5.72,321000,ack
5.72,346000,send
5.72,345000,transmit
5.728,322000,ack
5.728,347000,send
5.728,346000,transmit
5.736,323000,ack
5.736,348000,send
5.736,347000,transmit
5.744,324000,ack
5.744,349000,send
5.744,348000,transmit
5.752,325000,ack
5.752,350000,send
5.752,349000,transmit
5.76,326000,ack
5.76,351000,send
5.76,350000,transmit
5.768,327000,ack
5.768,352000,send
5.768,351000,transmit
5.776,328000,ack
5.776,353000,send
5.776,352000,transmit
5.784,329000,ack
5.784,354000,send
5.784,353000,transmit
5.792,330000,ack
5.792,355000,send
5.792,354000,transmit
5.8,331000,ack
5.8,356000,send
5.8,355000,transmit
5.808,332000,ack
5.808,357000,send
5.808,356000,transmit
5.816,333000,ack
5.816,358000,send
5.816,357000,transmit
5.824,358000,transmit
5.84,334000,ack
5.84,359000,send
5.84,359000,transmit
5.848,335000,ack
5.848,360000,send
5.848,360000,transmit
5.856,336000,ack
5.856,361000,send
5.856,361000,transmit
5.864,337000,ack
5.864,362000,send
5.864,362000,transmit
5.872,338000,ack
5.872,363000,send
5.872,364000,send
5.872,363000,transmit
5.88,339000,ack
5.88,365000,send
5.88,364000,transmit
5.888,340000,ack
5.888,366000,send
5.888,365000,transmit
5.896,341000,ack
5.896,367000,send
5.896,366000,transmit
5.904,342000,ack
5.904,368000,send
5.904,367000,transmit
5.912,343000,ack
5.912,369000,send
5.912,368000,transmit
5.92,344000,ack
5.92,370000,send
5.92,369000,transmit
5.928,345000,ack
5.928,371000,send
5.928,370000,transmit
5.936,346000,ack
5.936,372000,send
5.936,371000,transmit
5.944,347000,ack
5.944,373000,send
5.944,372000,transmit
5.952,348000,ack
5.952,374000,send
5.952,373000,transmit
5.96,349000,ack
5.96,375000,send
5.96,374000,transmit
5.968,350000,ack
5.968,376000,send
5.968,375000,transmit
5.976,351000,ack
5.976,377000,send
5.976,376000,transmit
5.984,352000,ack
5.984,378000,send
5.984,377000,transmit
5.992,353000,ack
5.992,379000,send
5.992,378000,transmit
6.0,354000,ack
6.0,380000,send
6.0,379000,transmit
6.008,355000,ack
6.008,381000,send
6.008,380000,transmit
6.016,356000,ack
6.016,382000,send
6.016,381000,transmit
6.024,357000,ack
6.024,383000,send
6.024,382000,transmit
6.032,358000,ack
6.032,384000,send
6.032,383000,transmit
6.04,384000,transmit
6.048,359000,ack
6.048,385000,send
6.048,385000,transmit
6.056,360000,ack
6.056,386000,send
6.056,386000,transmit
6.064,361000,ack
6.064,387000,send
6.064,387000,transmit
6.072,362000,ack
6.072,388000,send
6.072,388000,transmit
6.08,363000,ack
6.08,389000,send
6.08,389000,transmit
6.088,364000,ack
6.088,390000,send
6.088,390000,transmit
6.096,365000,ack
6.096,391000,send
6.096,392000,send
6.096,391000,transmit
6.104,366000,ack
6.104,393000,send
6.104,392000,transmit
6.112,367000,ack
6.112,394000,send
6.112,393000,transmit
6.12,368000,ack
6.12,395000,send
6.12,394000,transmit
6.128,369000,ack
6.128,396000,send
6.128,395000,transmit
6.136,370000,ack
6.136,397000,send
6.136,396000,transmit
6.144,371000,ack
6.144,398000,send
6.144,397000,transmit
6.152,372000,ack
6.152,399000,send
6.152,398000,transmit
6.16,373000,ack
6.16,400000,send
6.16,399000,transmit
6.168,374000,ack
6.168,401000,send
6.168,400000,transmit
6.176,375000,ack
6.176,402000,send
6.176,401000,transmit
6.184,376000,ack
6.184,403000,send
6.184,402000,transmit
6.192,377000,ack
6.192,404000,send
6.192,403000,transmit
6.2,378000,ack
6.2,405000,send
6.2,404000,transmit
6.208,379000,ack
6.208,406000,send
6.208,405000,transmit
6.216,380000,ack
6.216,407000,send
6.216,406000,transmit
6.224,381000,ack
6.224,408000,send
6.224,407000,transmit
6.232,382000,ack
6.232,409000,send
6.232,408000,transmit
6.24,383000,ack
6.24,410000,send
6.24,409000,transmit
6.248,384000,ack
6.248,411000,send
6.248,410000,transmit
6.256,385000,ack
6.256,412000,send
6.256,411000,transmit
6.264,386000,ack
6.264,413000,send
6.264,412000,transmit
6.272,387000,ack
6.272,414000,send
6.272,413000,transmit
6.28,388000,ack
6.28,415000,send
6.28,414000,transmit
6.288,389000,ack
6.288,416000,send
6.288,415000,transmit
6.296,390000,ack
6.296,417000,send
6.296,416000,transmit
6.304,391000,ack
6.304,418000,send
6.304,417000,transmit
6.312,392000,ack
6.312,419000,send
6.312,420000,send
6.312,418000,transmit
6.32,393000,ack
6.32,421000,send
6.32,419000,transmit
6.328,394000,ack
6.328,422000,send
6.328,420000,transmit
6.336,395000,ack
6.336,423000,send
6.336,421000,transmit
6.344,396000,ack
6.344,424000,send
6.344,422000,transmit
6.352,397000,ack
6.352,425000,send
6.352,423000,transmit
6.36,398000,ack
6.36,426000,send
6.36,424000,transmit
6.368,399000,ack
6.368,427000,send
6.368,425000,transmit
6.376,400000,ack
6.376,428000,send
6.376,426000,transmit
6.384,401000,ack
6.384,429000,send
6.384,427000,transmit
6.392,402000,ack
6.392,430000,send
6.392,428000,transmit
6.4,403000,ack
6.4,431000,send
6.4,429000,transmit
6.408,404000,ack
6.408,432000,send
6.408,430000,transmit
6.416,405000,ack
6.416,433000,send
6.416,431000,transmit
6.424,406000,ack
6.424,434000,send
6.424,432000,transmit
6.432,407000,ack
6.432,435000,send
6.432,433000,transmit
6.44,408000,ack
6.44,436000,send
6.44,434000,transmit
6.448,409000,ack
6.448,437000,send
6.448,435000,transmit
6.456,410000,ack
6.456,438000,send
6.456,436000,transmit
6.464,411000,ack
6.464,439000,send
6.464,437000,transmit
6.472,412000,ack
6.472,440000,send
6.472,438000,transmit
6.48,413000,ack
6.48,441000,send
6.48,439000,transmit
6.488,414000,ack
6.488,442000,send
6.488,440000,transmit
6.496,415000,ack
6.496,443000,send
6.496,441000,transmit
6.504,416000,ack
6.504,444000,send
6.504,442000,transmit
6.512,417000,ack
6.512,445000,send
6.512,443000,transmit
6.52,418000,ack
6.52,446000,send
6.52,444000,transmit
6.528,419000,ack
6.528,447000,send
6.528,445000,transmit
6.536,420000,ack
6.536,448000,send
6.536,449000,send
6.536,446000,transmit
6.544,421000,ack
6.544,450000,send
6.544,447000,transmit
6.552,422000,ack
6.552,451000,send
6.552,448000,transmit
6.56,423000,ack
6.56,452000,send
6.56,449000,transmit
6.568,424000,ack
6.568,453000,send
6.568,450000,transmit
6.576,425000,ack
6.576,454000,send
6.576,451000,transmit
6.584,426000,ack
6.584,455000,send
6.584,452000,transmit
6.592,427000,ack
6.592,456000,send
6.592,453000,transmit
6.6,428000,ack
6.6,457000,send
6.6,454000,transmit
6.608,429000,ack
6.608,458000,send
6.608,455000,transmit
6.616,430000,ack
6.616,459000,send
6.616,456000,transmit
6.624,431000,ack
6.624,460000,send
6.624,457000,transmit
6.632,432000,ack
6.632,461000,send
6.632,458000,transmit
6.64,433000,ack
6.64,462000,send
6.64,459000,transmit
6.648,434000,ack
6.648,463000,send
6.648,460000,transmit
6.656,435000,ack
6.656,464000,send
6.656,461000,transmit
6.664,436000,ack
6.664,465000,send
6.664,462000,transmit
6.672,437000,ack
6.672,466000,send
6.672,463000,transmit
6.68,438000,ack
6.68,467000,send
6.68,464000,transmit
6.688,439000,ack
6.688,468000,send
6.688,465000,transmit
6.696,440000,ack
6.696,469000,send
6.696,466000,transmit
6.704,441000,ack
6.704,470000,send
6.704,467000,transmit
6.712,442000,ack
6.712,471000,send
6.712,468000,transmit
6.72,443000,ack
6.72,472000,send
6.72,469000,transmit
